party_label_ka,party_id,appearances,election_ids,label_resolves_to_n_ids
"დიმიტრი ლორთქიფანიძე, კახა კუკავა-დემოკრატიული მოძრაობა-თავისუფალი საქართველო",free_georgia,11,local_2017,1
ედპ - ეროვნულ-დემოკრატიული პარტია,ndp_2012,160,parl_2012,1
ევროპელი დემოკრატები,european_democrats,87,local_2021;parl_2024,1
ევროპელი სოციალისტები,european_socialists,51,local_2021,1
ევროპული საქართველო - მოძრაობა თავისუფლებისთვის,european_georgia,155,parl_2020,1
ეკა ბესელია - პ.პ. „სამართლიანობისთვის“,justice,150,adj_2020;parl_2020,1
ერთიანი ნაციონალური მოძრაობა,bakradze,1,pres_2013,4
ერთიანი ნაციონალური მოძრაობა,saakashvili,1,pres_2008,4
ერთიანი ნაციონალური მოძრაობა,unm,2504,adj_2008;local_2014;local_2017,4
ერთიანი ნაციონალური მოძრაობა,vashadze,2,pres_2018,4
ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს,unm,220,parl_2012,1
ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის,unm,119,parl_2008,1
ერთიანობა-ნაციონალური მოძრაობა,unity,97,parl_2024,1
ერთიანობის დარბაზი,unity_hall_2014,192,local_2014,1
ერი,nation_party,54,local_2021,1
ერი - მირიან მირიანაშვილი,nation_party,26,local_2021,1
ეროვნულ დემოკრატიული მოძრაობა,national_democrats,1,local_2017,1
ეროვნულ-დემოკრატიული პარტია (ედპ),national_democratic_2010,11,local_2010,1
ეროვნულ‐დემოკრატიული პარტია (ედპ),national_democratic_2014,3,local_2014,1
ეროვნული ფორუმი,national_forum,213,adj_2016;parl_2016,1
ესთეტიური ლიგა პატრიოტებისა,aesth_1919,6,parl_1919,1
ვეტერანთა და პატრიოტთა პოლიტიკური მოძრაობა,veterans_patriots_2014,2,local_2014,1
ზვიადის გზა - უფლის სახელით,zviads_way,130,parl_2016,1
ზვიადის გზა უფლის სახელით [სამართლიანობის აღდგენის კავშირი; მეანაბრეთა ასოციაცია; იპოთეკით დაზარალებულთა დარბაზი; ალტერნატიული პირადობის დაშვების ლიგა; უფალია ჩვენი სიმართლე],zviads_way,58,local_2017,1
"თავისუფალი საქართველო (ზაზა ხატიაშვილი, კახა კუკავა, გრიგოლ ჯოჯუა)",free_georgia,54,local_2021,1
თავისუფლება - ზვიად გამსახურდიას გზა,freedom_gamsakhurdia,61,local_2017,2
თავისუფლება - ზვიად გამსახურდიას გზა,freedom_zviads_way_2014,17,local_2014,2
თავისუფლება − ზვიად გამსახურდიას გზა,freedom_zviads_way_2014,5,local_2014,1
თავისუფლება-ზვიად გამსახურდიას გზა,freedom_gamsakhurdia,261,local_2021;parl_2020,1
თამაზ მეჭიაური - ერთიანი საქართველოსთვის,mechiauri_united,31,adj_2016,1
თამაზ მეჭიაური ერთიანი საქართველოსთვის,mechiauri,8,local_2017,2
თამაზ მეჭიაური ერთიანი საქართველოსთვის,mechiauri_united,166,parl_2016,2
თვითმმართველობა ხალხს,self_governance_people_2014,2,local_2014,1
თვითმმართველობა ხალხს!,self_governance_people_2014,858,local_2014,1
თოფაძე-მრეწველები,industry_sakartvelo,248,local_2010,1
ივანიშვილი – “სახალხო დემოკრატები”,ivanishvili_peoples_democrats_2010,35,local_2010,1
ირაკლი ალასანია - თავისუფალი დემოკრატები,free_democrats,229,adj_2016;parl_2016,1
ირაკლი ოქრუაშვილი - ქართული პარტია,georgian_party_2014,57,local_2014,1
ირაკლი ოქრუაშვილი − ქართული პარტია,georgian_party_2014,24,local_2014,1
ირაკლი ღლონტი - რეფორმატორები,reformers_2014,274,local_2014,1
ირაკლი ღლონტი − რეფორმატორები,reformers_2014,23,local_2014,1
"კახა ძაგანია, სოსო შატბერაშვილი, პაატა ჯიბლაძე, არჩილ ბენიძე - მემარცხენე ალიანსი",left_alliance_2016,132,parl_2016,1
კოალიცია ცვლილებისთვის გვარამია მელია გირჩი დროა,coalition_for_change,101,parl_2024,1
ლეიბორისტული პარტია,natelashvili,2,pres_2008;pres_2013,1
მ.პ..გ „ერთიანი ნაციონალური მოძრაობა“,unm,40,adj_2016,1
მამუკა ტუსკაძე-სოციალური სამართლიანობისათვის,social_justice,53,local_2021,1
მამულიშვილთა ორდენი „სამშობლო“,motherland_2020,121,parl_2020,1
მამულიშვილთა ორდენი „სამშობლო”,motherland_2020,33,local_2017,1
მემარცხენე ალიანსი,left_alliance,86,local_2017;parl_2024,1
მემარცხენე სოციალისტ-ფედერალისტთა მაშვრალთა პარტია,left_federalists_1919,38,parl_1919,1
მერაბ კოსტავას საზოგადოება,kostava_society,335,local_2014;parl_2016,1
